focus,velocity,pressure,duty,power,frequency,thickness,isthrough,chink,ra,haz,slag
0.4,1000,2,100,100,5000,1,1,0.33,13.9,324,0
0.4,2000,1,70,70,4000,1,1,0.2,5.19,312,0.742
0.4,3000,0.5,90,90,3000,1,1,0.23,3.3,423,0.827
0.4,4000,2.5,60,60,2000,1,1,0.18,2.3,856,0
0.8,1000,0.5,70,70,1000,1,1,0.38,13.05,1847,0.856
0.8,2000,2.5,90,90,5000,1,1,0.28,0.16,153,0
0.8,3000,0.8,60,60,4000,1,1,0.18,3.24,174,0
0.8,4000,2,80,80,3000,1,1,0.2,10.4,270,0
1,1000,0.8,90,90,2000,1,1,0.38,5.2,1954,1.025
1,2000,2,60,60,1000,1,1,0.25,4.5,0,0
1,3000,1,80,80,5000,1,1,0.28,26.5,0,0
1,5000,2.5,70,70,3000,1,1,0.22,5.34,879,0
1.2,1000,1,60,60,3000,1,1,0.33,2.89,1855,1.388
1.2,2000,0.5,80,80,2000,1,1,0.33,16.8,1932,1.352
1.2,3000,2.5,100,100,1000,1,1,0.35,15.2,0,0
1.2,5000,2,90,90,4000,1,1,0.33,10.5,0,0.785
1.6,1000,2.5,80,80,4000,1,1,0.2,16,374,0.525
1.6,2000,0.8,100,100,3000,1,1,0.33,7.28,1856,1.376
1.6,3000,2,70,70,2000,1,1,0.3,7.96,267,0.132
1.6,4000,1,90,90,1000,1,1,0.28,4.27,166,0
0.4,1000,2,100,100,5000,2,1,0.3,9.2,355,355
0.4,2000,1,70,70,4000,2,1,0.13,12,524,524
0.8,1000,0.5,70,70,1000,2,1,0.23,19,1367,1.367
0.8,2000,2.5,90,90,5000,2,1,0.35,11,223,223
0.8,4000,2,80,80,3000,2,1,0.27,3.33,1673,1.673
1,1000,0.8,90,90,2000,2,1,0.28,10.5,369,369
1,2000,2,60,60,1000,2,1,0.28,15.7,206,206
1.2,1000,1,60,60,3000,2,1,0.35,2.7,684,684
1.2,2000,0.5,80,80,2000,2,1,0.3,3.5,568,568
1.2,3000,2.5,100,100,1000,2,1,0.28,15.2,298,298
1.6,1000,2.5,80,80,4000,2,1,0.4,10.2,236,236
1.6,2000,0.8,100,100,3000,2,1,0.38,8.61,244,244
